filename,date,title,words,author,nationality,gender
1881 a fair barbarian.txt,1881,A Fair Barbarian,41718,Frances Burnett,a,f
1881 milly and olly.txt,1881,Milly and Olly,47903,Mrs. Humphrey Ward,b,f
1881 treasure island.txt,1881,Treasure Island,68319,Robert Louis Stevenson,b,m
1882 mr isaacs.txt,1882,Mr. Isaacs,82513,Francis Marion Crawford,a,m
1882 the new arabian nights.txt,1882,The New Arabian Nights,102366,Robert Louis Stevenson,b,m
1883 doctor claudius.txt,1883,Doctor Claudius,101791,Francis Marion Crawford,a,m
1884 the unclassed.txt,1884,The Unclassed,124922,George Gissing,b,m
1884 philistia.txt,1884,Philistia,143694,Grant Allen,c,m
1884 a roman singer.txt,1884,A Roman Singer,96604,Francis Marion Crawford,a,m
1884 miss bretherton.txt,1884,Miss Bretherton,57324,Mrs. Humphrey Ward,b,f
1884 the black arrow.txt,1884,The Black Arrow,79850,Robert Louis Stevenson,b,m
1885 king solomon's mines.txt,1885,King Solomon’s Mines,82423,Henry Rider Haggard,b,m
1885 zoroaster.txt,1885,Zoroaster,77310,Francis Marion Crawford,a,m
1885 the children of the king.txt,1885,The Children of the King,61120,Francis Marion Crawford,a,m
1885 prince otto.txt,1885,Prince Otto,62680,Robert Louis Stevenson,b,m
1885 the shadow of a crime.txt,1885,The Shadow of a Crime,123977,Hall Caine,b,m
1885 a mummer's wife.txt,1885,A Mummer’s Wife,142687,George Augustus Moore,b,m
1885 little lord fauntleroy.txt,1885,Little Lord Fauntleroy,58669,Frances Burnett,a,f
1886 the strange case of dr jekyll and mr hyde.txt,1886,The Strange Case of Dr. Jekyll and Mr. Hyde,25763,Robert Louis Stevenson,b,m
1886 vendetta.txt,1886,Vendetta,144414,Marie Corelli,b,f
1886 the romance of two worlds.txt,1886,The Romance of Two Worlds,99558,Marie Corelli,b,f
1886 muslin.txt,1886,Muslin,94086,George Augustus Moore,b,m
1886 idle thoughts of an idle fellow.txt,1886,Idle Thoughts of an Idle Fellow,42106,Jerome Kapla Jerome,b,m
1886 kidnapped.txt,1886,Kidnapped,82164,Robert Louis Stevenson,b,m
1886 demos.txt,1886,Demos,195675,George Gissing,b,m
1886 a tale of a lonely parish.txt,1886,A Tale of a Lonely Parish,107246,Francis Marion Crawford,a,m
1887 saracinesca.txt,1887,Saracinesca,154520,Francis Marion Crawford,a,m
1887 she.txt,1887,She,113137,Henry Rider Haggard,b,m
1887 sara crowe.txt,1887,Sara Crowe,66881,Frances Burnett,a,f
1887 the merry men.txt,1887,The Merry Men,80332,Robert Louis Stevenson,b,m
1887 marzio's crucifix.txt,1887,Marzio’s Crucifix,57522,Francis Marion Crawford,a,m
1887 thyrza.txt,1887,Thyrza,195303,George Gissing,b,m
1887 thelma.txt,1887,Thelma,205564,Marie Corelli,b,f
1887 a mere accident.txt,1887,A Mere Accident,47695,George Augustus Moore,b,m
1888 robert elsmere.txt,1888,Robert Elsmere,287990,Mrs. Humphrey Ward,b,f
1888 a life's morning.txt,1888,A Life’s Morning,141730,George Gissing,b,m
1888 mr meeson's will.txt,1888,Mr Meeson’s Will,67617,Henry Rider Haggard,b,m
1888 what dreams may come.txt,1888,What Dreams May Come,44409,Gertrude Atherton,a,f
1888 a study in scarlet.txt,1888,A Study in Scarlet,43542,Arthur Conan Doyle,b,m
1888 confessions of a young man.txt,1888,Confessions of a Young Man,59560,George Augustus Moore,b,m
1888 spring days.txt,1888,Spring Days,99088,George Augustus Moore,b,m
1889 mike fletcher.txt,1889,Mike Fletcher,91214,George Augustus Moore,b,m
1889 the nether world.txt,1889,The Nether World,160882,George Gissing,b,m
1889 cleopatra.txt,1889,Cleopatra,102931,Henry Rider Haggard,b,m
1889 greifenstein.txt,1889,Greifenstein,153533,Francis Marion Crawford,a,m
1889 micah clarke.txt,1889,Micah Clarke,178167,Arthur Conan Doyle,b,m
1889 three men in a boat.txt,1889,Three Men in a Boat,67445,Jerome Kapla Jerome,b,m
1889 ardath.txt,1889,Ardath,216533,Marie Corelli,b,f
1889 the mystery of cloomber.txt,1889,The Mystery of Cloomber,48880,Arthur Conan Doyle,b,m
1889 the master of ballantrae.txt,1889,The Master of Ballantrae,87499,Robert Louis Stevenson,b,m
1890 the captain of the polestar.txt,1890,The Captain of the Polestar,84491,Arthur Conan Doyle,b,m
1890 beatrice.txt,1890,Beatrice,112327,Henry Rider Haggard,b,m
1890 the house of the wolf.txt,1890,The House of the Wolf,56735,Stanley John Weyman,b,m
1890 the firm of girdlestone.txt,1890,The Firm of Girdlestone,137297,Arthur Conan Doyle,b,m
1890 the scapegoat.txt,1890,The Scapegoat,101245,Hall Caine,b,m
1890 the emancipated.txt,1890,The Emancipated,143716,George Gissing,b,m
1891 the diary of a pilgrimage.txt,1891,The Diary of a Pilgrimage,41869,Jerome Kapla Jerome,b,m
1891 the white company.txt,1891,The White Company,150866,Arthur Conan Doyle,b,m
1891 the great taboo.txt,1891,The Great Taboo,75648,Grant Allen,c,m
1891 new grub street.txt,1891,New Grub Street,186718,George Gissing,b,m
1891 the witch of prague.txt,1891,The Witch of Prague,135647,Francis Marion Crawford,a,m
1891 what's bred in the bone.txt,1891,What’s Bred in the Bone,98820,Grant Allen,c,m
1891 eric brighteyes.txt,1891,Eric Brighteyes,108189,Henry Rider Haggard,b,m
1892 from one generation to another.txt,1892,From one Generation to Another,63622,Henry Seton Merriman,b,m
1892 the adventures of sherlock holmes.txt,1892,The Adventures of Sherlock Holmes,104605,Arthur Conan Doyle,b,m
1892 the master of silence.txt,1892,The Master of Silence,29981,Irving Bacheller,a,m
1892 the doing of raffles haw.txt,1892,The Doing of Raffles Haw,38035,Arthur Conan Doyle,b,m
1892 nada the lily.txt,1892,Nada the Lily,117377,Henry Rider Haggard,b,m
1892 the slave of the lamp.txt,1892,The Slave of the Lamp,74504,Henry Seton Merriman,b,m
1892 beyond the city.txt,1892,Beyond the City,39536,Arthur Conan Doyle,b,m
1892 don orsino.txt,1892,Don Orsino,151630,Francis Marion Crawford,a,m
1892 denzil quarrier.txt,1892,Denzil Quarrier,80265,George Gissing,b,m
1892 born in exile.txt,1892,Born in Exile,158445,George Gissing,b,m
1893 a gentleman of france.txt,1893,A Gentleman of France,147623,Stanley John Weyman,b,m
1893 montezuma's daughter.txt,1893,Montezuma’s Daughter,151275,Henry Rider Haggard,b,m
1893 the trespasser.txt,1893,The Trespasser,61101,Gilbert Parker,c,m
1893 an island night's entertainment.txt,1893,An Island Night’s Entertainment,49307,Robert Louis Stevenson,b,m
1893 the trail of the sword.txt,1893,The Trail of the Sword,55718,Gilbert Parker,c,m
1893 mrs falchion.txt,1893,Mrs. Falchion,91687,Gilbert Parker,c,m
1893 michael's crag.txt,1893,Michael’s Crag,34769,Grant Allen,c,m
1893 novel notes.txt,1893,Novel Notes,69145,Jerome Kapla Jerome,b,m
1893 from whose bourne.txt,1893,From Whose Bourne,29685,Robert Barr,c,m
1893 penelope's english experiences.txt,1893,Penelope’s English Experiences,31073,Kate Douglas Wiggin,a,f
1893 polly oliver's problem.txt,1893,Polly Oliver’s Problem,40338,Kate Douglas Wiggin,a,f
1893 the odd woman.txt,1893,The Odd Woman,139284,George Gissing,b,m
1893 the memoirs of sherlock holmes.txt,1893,The Memoirs of Sherlock Holmes,87748,Arthur Conan Doyle,b,m
1893 the refugees.txt,1893,The Refugees,123033,Arthur Conan Doyle,b,m
1894 esther waters.txt,1894,Esther Waters,111341,George Augustus Moore,b,m
1894 in the midst of alarms.txt,1894,In the Midst of Alarms,77778,Robert Barr,c,m
1894 the face and the mask.txt,1894,The Face and the Mask,71057,Robert Barr,c,m
1894 with edged tools.txt,1894,With Edged Tools,105724,Henry Seton Merriman,b,m
1894 round the red lamp.txt,1894,Round the Red Lamp,68357,Arthur Conan Doyle,b,m
1894 under the red robe.txt,1894,Under the Red Robe,64697,Stanley John Weyman,b,m
1894 the people of the mist.txt,1894,The People of the Mist,146115,Henry Rider Haggard,b,m
1894 marcella.txt,1894,Marcella,249403,Mrs. Humphrey Ward,b,f
1894 in the year of jubilee.txt,1894,In the Year of Jubilee,131547,George Gissing,b,m
1895 the sowers.txt,1895,The Sowers,106974,Henry Seton Merriman,b,m
1895 the grey lady.txt,1895,The Grey Lady,68755,Henry Seton Merriman,b,m
1895 the stark munro letters.txt,1895,The Stark Munro Letters,77737,Arthur Conan Doyle,b,m
1895 from the memoirs of a minister of france.txt,1895,From the Memoirs of a Minister of France,73003,Stanley John Weyman,b,m
1895 eve's ransom.txt,1895,Eve’s Ransom,54986,George Gissing,b,m
1895 when valmond came to pontiac.txt,1895,When Valmond Came to Pontiac,50780,Gilbert Parker,c,m
1895 the paying guest.txt,1895,The Paying Guest,27070,George Gissing,b,m
1895 the woman who did.txt,1895,The Woman who Did,45656,Grant Allen,c,m
1895 vain fortune.txt,1895,Vain Fortune,57834,George Augustus Moore,b,m
1895 the british barbarians.txt,1895,The British Barbarians,36761,Grant Allen,c,m
1896 sir george tressady 2.txt,1896,Sir George Tressady (Vol. 2),171363,Mrs. Humphrey Ward,b,f
1896 the village watchtower.txt,1896,The Village Watchtower,41737,Kate Douglas Wiggin,a,f
1896 ziska.txt,1896,Ziska,59754,Marie Corelli,b,f
1896 the wizard.txt,1896,The Wizard,60806,Henry Rider Haggard,b,m
1896 sir george tressady 1.txt,1896,Sir George Tressady (Vol. 1),171363,Mrs. Humphrey Ward,b,f
1896 rodney stone.txt,1896,Rodney Stone,91194,Arthur Conan Doyle,b,m
1896 one day's courtship.txt,1896,One Day’s Courtship,36273,Robert Barr,c,m
1896 the seats of the mighty.txt,1896,The Seats of the Mighty,127007,Gilbert Parker,c,m
1896 the pomp of the lavilettes.txt,1896,The Pomp of the Lavilettes,38289,Gilbert Parker,c,m
1896 revenge!.txt,1896,Revenge!,81258,Robert Barr,c,m
1897 an african millionaire.txt,1897,An African Millionaire,65848,Grant Allen,c,m
1897 in kedar's tents.txt,1897,In Kedar’s Tents,71873,Henry Seton Merriman,b,m
1897 uncle burnac.txt,1897,Uncle Burnac,57675,Arthur Conan Doyle,b,m
1897 the christian.txt,1897,The Christian,200268,Hall Caine,b,m
1897 the whirlpool.txt,1897,The Whirlpool,164046,George Gissing,b,m
1897 the translation of a savage.txt,1897,The Translation of a Savage,50647,Gilbert Parker,c,m
1897 marm lisa.txt,1897,Marm Lisa,38019,Kate Douglas Wiggin,a,f
1898 doctor therne.txt,1898,Doctor Therne,47898,Henry Rider Haggard,b,m
1898 black rock.txt,1898,Black Rock,56424,Ralph Connor,c,m
1898 helbeck of bannisdale 1.txt,1898,Helbeck of Bannisdale (Vol. 1),137055,Mrs. Humphrey Ward,b,f
1898 the second thoughts of an idle fellow.txt,1898,The Second Thoughts of an Idle Fellow,64146,Jerome Kapla Jerome,b,m
1898 helbeck of bannisdale 2.txt,1898,Helbeck of Bannisdale (Vol. 2),137055,Mrs. Humphrey Ward,b,f
1898 penelope's experiences in scotland.txt,1898,Penelope’s Experience in Scotland,58486,Kate Douglas Wiggin,a,f
