date,title,words,author
1881,A Fair Barbarian,41718,Frances Burnett
1881,Milly and Olly,47903,Humphrey Ward [Mary Augusta Ward]
1881,Treasure Island,68319,Robert Louis Stevenson
1882,Mr. Isaacs,82513,Francis Marion Crawford
1882,The New Arabian Nights,102366,Robert Louis Stevenson
1883,Doctor Claudius,101791,Francis Marion Crawford
1884,A Roman Singer,96604,Francis Marion Crawford
1884,Miss Bretherton,57324,Humphrey Ward [Mary Augusta Ward]
1884,Philistia,143694,Grant Allen
1884,The Black Arrow,79850,Robert Louis Stevenson
1884,The Unclassed,124922,George Gissing
1885,A Mummer’s Wife,142687,George Augustus Moore
1885,King Solomon’s Mines,82423,Henry Rider Haggard
1885,Little Lord Fauntleroy,58669,Frances Burnett
1885,Prince Otto,62680,Robert Louis Stevenson
1885,The Children of the King,61120,Francis Marion Crawford
1885,The Shadow of a Crime,123977,Hall Caine
1885,Zoroaster,77310,Francis Marion Crawford
1886,A Tale of a Lonely Parish,107246,Francis Marion Crawford
1886,Demos,195675,George Gissing
1886,Idle Thoughts of an Idle Fellow,42106,Jerome Kapla Jerome
1886,Kidnapped,82164,Robert Louis Stevenson
1886,Muslin,94086,George Augustus Moore
1886,The Romance of Two Worlds,99558,Marie Corelli
1886,The Strange Case of Dr. Jekyll and Mr. Hyde,25763,Robert Louis Stevenson
1886,Vendetta,144414,Marie Corelli
1887,A Mere Accident,47695,George Augustus Moore
1887,Marzio’s Crucifix,57522,Francis Marion Crawford
1887,Sara Crowe,66881,Frances Burnett
1887,Saracinesca,154520,Francis Marion Crawford
1887,She,113137,Henry Rider Haggard
1887,The Merry Men,80332,Robert Louis Stevenson
1887,Thelma,205564,Marie Corelli
1887,Thyrza,195303,George Gissing
1888,A Life’s Morning,141730,George Gissing
1888,A Study in Scarlet,43542,Arthur Conan Doyle
1888,Confessions of a Young Man,59560,George Augustus Moore
1888,Mr Meeson’s Will,67617,Henry Rider Haggard
1888,Robert Elsmere,287990,Humphrey Ward [Mary Augusta Ward]
1888,Spring Days,99088,George Augustus Moore
1888,What Dreams May Come,44409,Gertrude Atherton
1889,Ardath,216533,Marie Corelli
1889,Cleopatra,102931,Henry Rider Haggard
1889,Greifenstein,153533,Francis Marion Crawford
1889,Micah Clarke,178167,Arthur Conan Doyle
1889,Mike Fletcher,91214,George Augustus Moore
1889,The Master of Ballantrae,87499,Robert Louis Stevenson
1889,The Mystery of Cloomber,48880,Arthur Conan Doyle
1889,The Nether World,160882,George Gissing
1889,Three Men in a Boat,67445,Jerome Kapla Jerome
1890,Beatrice,112327,Henry Rider Haggard
1890,The Captain of the Polestar,84491,Arthur Conan Doyle
1890,The Emancipated,143716,George Gissing
1890,The Firm of Girdlestone,137297,Arthur Conan Doyle
1890,The House of the Wolf,56735,Stanley John Weyman
1890,The Scapegoat,101245,Hall Caine
1891,Don Orsino,151630,Francis Marion Crawford
1891,Eric Brighteyes,108189,Henry Rider Haggard
1891,New Grub Street,186718,George Gissing
1891,The Diary of a Pilgrimage,41869,Jerome Kapla Jerome
1891,The Great Taboo,75648,Grant Allen
1891,The White Company,150866,Arthur Conan Doyle
1891,The Witch of Prague,135647,Francis Marion Crawford
1891,What’s Bred in the Bone,98820,Grant Allen
1892,Beyond the City,39536,Arthur Conan Doyle
1892,Born in Exile,158445,George Gissing
1892,Denzil Quarrier,80265,George Gissing
1892,From one Generation to Another,63622,Henry Seton Merriman
1892,Nada the Lily,117377,Henry Rider Haggard
1892,The Adventures of Sherlock Holmes,104605,Arthur Conan Doyle
1892,The Doing of Raffles Haw,38035,Arthur Conan Doyle
1892,The Master of Silence,29981,Irving Bacheller
1892,The Slave of the Lamp,74504,Henry Seton Merriman
1893,A Gentleman of France,147623,Stanley John Weyman
1893,An Island Night’s Entertainment,49307,Robert Louis Stevenson
1893,From Whose Bourne,29685,Robert Barr
1893,Michael’s Crag,34769,Grant Allen
1893,Montezuma’s Daughter,151275,Henry Rider Haggard
1893,Mrs. Falchion,91687,Gilbert Parker
1893,Novel Notes,69145,Jerome Kapla Jerome
1893,Penelope’s English Experiences,31073,Kate Douglas Wiggin
1893,Polly Oliver’s Problem,40338,Kate Douglas Wiggin
1893,The Memoirs of Sherlock Holmes,87748,Arthur Conan Doyle
1893,The Odd Woman,139284,George Gissing
1893,The Refugees,123033,Arthur Conan Doyle
1893,The Trail of the Sword,55718,Gilbert Parker
1893,The Trespasser,61101,Gilbert Parker
1894,Esther Waters,111341,George Augustus Moore
1894,In the Midst of Alarms,77778,Robert Barr
1894,In the Year of Jubilee,131547,George Gissing
1894,Marcella,249403,Humphrey Ward [Mary Augusta Ward]
1894,Round the Red Lamp,68357,Arthur Conan Doyle
1894,The Face and the Mask,71057,Robert Barr
1894,The People of the Mist,146115,Henry Rider Haggard
1894,Under the Red Robe,64697,Stanley John Weyman
1894,With Edged Tools,105724,Henry Seton Merriman
1895,Eve’s Ransom,54986,George Gissing
1895,From the Memoirs of a Minister of France,73003,Stanley John Weyman
1895,The British Barbarians,36761,Grant Allen
1895,The Grey Lady,68755,Henry Seton Merriman
1895,The Paying Guest,27070,George Gissing
1895,The Sowers,106974,Henry Seton Merriman
1895,The Stark Munro Letters,77737,Arthur Conan Doyle
1895,The Woman who Did,45656,Grant Allen
1895,Vain Fortune,57834,George Augustus Moore
1895,When Valmond Came to Pontiac,50780,Gilbert Parker
1896,One Day’s Courtship,36273,Robert Barr
1896,Revenge!,81258,Robert Barr
1896,Rodney Stone,91194,Arthur Conan Doyle
