date,filename,author,title,nationality,gender
1771,1771_Mackenzie_Henry_TheManofFeeling_Novel.txt,"('Mackenzie', 'Henry')",TheManofFeeling,b,m
1771,1771_Smollett_Tobias_TheExpedictionofHenryClinker_Novel.txt,"('Smollett', 'Tobias')",TheExpedictionofHenryClinker,b,m
1778,1778_Burney_Fanny_Evelina_Novel.txt,"('Burney', 'Fanny')",Evelina,b,f
1782,1782_Burney_Fanny_Cecilia_Novel.txt,"('Burney', 'Fanny')",Cecilia,b,f
1786,1786_Beckford_William_Vathek_Novel.txt,"('Beckford', 'William')",Vathek,b,m
1788,1788_Wollstonecraft_Mary_Mary_Novel.txt,"('Wollstonecraft', 'Mary')",Mary,b,f
1790,1790_Radcliffe_Ann_ASicilianRomance_Novel.txt,"('Radcliffe', 'Ann')",ASicilianRomance,b,f
1794,1794_Rowson_Susanna_CharlotteTemple_Novel.txt,"('Rowson', 'Susanna')",CharlotteTemple,b,f
1794,1794_Radcliffe_Ann_TheMysteriesofUdolpho_Novel.txt,"('Radcliffe', 'Ann')",TheMysteriesofUdolpho,b,f
1794,1794_Godwin_William_CalebWilliams_Novel.txt,"('Godwin', 'William')",CalebWilliams,b,m
1795,1795_Lewis_Matthew_TheMonk_Novel.txt,"('Lewis', 'Matthew')",TheMonk,b,m
1796,1796_Burney_Fanny_Camilla_Novel.txt,"('Burney', 'Fanny')",Camilla,b,f
1796,1796_Bonhote_Elizabeth_BungayCastle_Novel.txt,"('Bonhote', 'Elizabeth')",BungayCastle,b,f
1796,1796_Hays_Mary_EmmaCourtney_Novel.txt,"('Hays', 'Mary')",EmmaCourtney,b,f
1797,1797_Foster_HannahWebster_TheCoquette_Novel.txt,"('Foster', 'HannahWebster')",TheCoquette,a,f
1798,1798_Wollstonecraft_Mary_Maria_Novel.txt,"('Wollstonecraft', 'Mary')",Maria,b,m
1798,1798_Brown_CharlesBrockden_Wieland_Novel.txt,"('Brown', 'CharlesBrockden')",Wieland,a,m
1799,1799_Brown_CharlesBrockden_ArthurMervyn_Novel.txt,"('Brown', 'CharlesBrockden')",ArthurMervyn,a,m
1800,1800_Edgeworth_Maria_CastleRackrent_Novel.txt,"('Edgeworth', 'Maria')",CastleRackrent,b,f
1801,1801_Edgeworth_Maria_Belinda_Novel.txt,"('Edgeworth', 'Maria')",Belinda,b,f
1804,1804_Opie_Amelia_AdelineMowbray_Novel.txt,"('Opie', 'Amelia')",AdelineMowbray,b,f
1805,1805_Lewis_Matthew_TheBravoofVenice_Novel.txt,"('Lewis', 'Matthew')",TheBravoofVenice,b,m
1806,1806_Edgeworth_Maria_Leonora_Novel.txt,"('Edgeworth', 'Maria')",Leonora,b,f
1809,1809_More_Hannah_CoelebsinSearchofaWife_Novel.txt,"('More', 'Hannah')",CoelebsinSearchofaWife,b,f
1811,1811_Austen_Jane_SenseandSensibility_Novel.txt,"('Austen', 'Jane')",SenseandSensibility,b,f
1813,1813_Austen_Jane_PrideandPrejudice_Novel.txt,"('Austen', 'Jane')",PrideandPrejudice,b,f
1814,1814_Austen_Jane_MansfieldPark_Novel.txt,"('Austen', 'Jane')",MansfieldPark,b,f
1814,1814_Scott_Walter_Waverley_Novel.txt,"('Scott', 'Walter')",Waverley,b,m
1815,1815_Peacock_ThomasLove_HeadlongHall_Novel.txt,"('Peacock', 'ThomasLove')",HeadlongHall,b,m
1817,1817_Scott_Walter_RobRoy_Novel.txt,"('Scott', 'Walter')",RobRoy,b,m
1818,1818_Peacock_ThomasLove_NightmareAbbey_Novel.txt,"('Peacock', 'ThomasLove')",NightmareAbbey,b,m
1818,1818_Shelley_Mary_Frankenstein_Novel.txt,"('Shelley', 'Mary')",Frankenstein,b,f
1819,1819_Shelley_Mary_Mathilda_Novel.txt,"('Shelley', 'Mary')",Mathilda,b,f
1820,1820_Scott_Walter_Ivanhoe_Novel.txt,"('Scott', 'Walter')",Ivanhoe,a,m
1821,1821_Galt_John_AnnalsoftheParish_Novel.txt,"('Galt', 'John')",AnnalsoftheParish,b,m
1821,1821_Peacock_ThomasLove_MaidMarian_Novel.txt,"('Peacock', 'ThomasLove')",MaidMarian,b,m
1822,1822_Hogg_James_ThreePerilsofMan_Novel.txt,"('Hogg', 'James')",ThreePerilsofMan,b,m
1823,1823_Cooper_JamesFenimore_ThePioneers_Novel.txt,"('Cooper', 'JamesFenimore')",ThePioneers,a,m
1826,1826_Cooper_JameFenimore_TheLastoftheMohicans_Novel.txt,"('Cooper', 'JameFenimore')",TheLastoftheMohicans,a,m
1826,1826_Disraeli_Benjamin_VivianGrey_Novel.txt,"('Disraeli', 'Benjamin')",VivianGrey,b,m
1836,1836_Child_Lydia_Philothea_Novel.txt,"('Child', 'Lydia')",Philothea,a,f
1837,1837_Disraeli_Benjamin_Venetia_Novel.txt,"('Disraeli', 'Benjamin')",Venetia,b,m
1837,1837_Trollope_FrancesMilton_TheVicarofWrexham_Novel.txt,"('Trollope', 'FrancesMilton')",TheVicarofWrexham,b,f
1838,1838_Poe_EdgarAllen_TheNarrativeofArthurGordonPym_Novel.txt,"('Poe', 'EdgarAllen')",TheNarrativeofArthurGordonPym,a,m
1838,1838_Martineau_Harriet_Deerbrook_Novel.txt,"('Martineau', 'Harriet')",Deerbrook,b,f
1843,1843_Borrow_George_TheBibleinSpain_Novel.txt,"('Borrow', 'George')",TheBibleinSpain,b,m
1844,1844_Yonge_Charlotte_Abbeychurch_Novel.txt,"('Yonge', 'Charlotte')",Abbeychurch,b,f
1847,1847_Thackeray_William_VanityFair_Novel.txt,"('Thackeray', 'William')",VanityFair,b,m
1847,1847_Bronte_Charlotte_JaneEyre_Novel.txt,"('Bronte', 'Charlotte')",JaneEyre,b,f
1847,1847_Aguilar_Grace_HomeInfluence_Novel.txt,"('Aguilar', 'Grace')",HomeInfluence,b,f
1847,1847_Bronte_Emily_WutheringHeights_Novel.txt,"('Bronte', 'Emily')",WutheringHeights,b,f
1848,1848_Bronte_Ann_TheTenantofWildfellHall_Novel.txt,"('Bronte', 'Ann')",TheTenantofWildfellHall,b,f
1848,1848_Gaskell_Elizabeth_MaryBarton_Novel.txt,"('Gaskell', 'Elizabeth')",MaryBarton,b,f
1849,1849_Kingsley_Charles_AltonLocke_Novel.txt,"('Kingsley', 'Charles')",AltonLocke,b,m
1850,1850_Hawthorne_Nathaniel_TheScarletLetter_Novel.txt,"('Hawthorne', 'Nathaniel')",TheScarletLetter,a,m
1850,1850_Yonge_Charlotte_Henrietta'sWish_Novel.txt,"('Yonge', 'Charlotte')",Henrietta'sWish,b,f
1850,1850_Aguilar_Grace_ValeofCedars_Novel.txt,"('Aguilar', 'Grace')",ValeofCedars,b,f
1851,1851_Hawthorne_Nathaniel_TheHouseoftheSevenGables_Novel.txt,"('Hawthorne', 'Nathaniel')",TheHouseoftheSevenGables,a,m
1851,1851_Melville_Hermann_MobyDick_Novel.txt,"('Melville', 'Hermann')",MobyDick,a,m
1852,1852_Collins_Wilkie_Basil_Novel.txt,"('Collins', 'Wilkie')",Basil,b,m
1853,1853_Yonge_Charlotte_TheHeirofRedcliffe_Novel.txt,"('Yonge', 'Charlotte')",TheHeirofRedcliffe,b,f
1853,1853_Kingsley_Charles_Hypatia_Novel.txt,"('Kingsley', 'Charles')",Hypatia,b,m
1853,1853_Stowe_HarrietBeecher_UncleTom'sCabin_Novel.txt,"('Stowe', 'HarrietBeecher')",UncleTom'sCabin,a,f
1853,1853_Craik_Dinah_Agatha'sHusband_Novel.txt,"('Craik', 'Dinah')",Agatha'sHusband,b,f
1854,1854_Gaskell_Elizabeth_NorthandSouth_Novel.txt,"('Gaskell', 'Elizabeth')",NorthandSouth,b,f
1855,1855_Trollope_FrancesMilton_TheWidowBarnaby_Novel.txt,"('Trollope', 'FrancesMilton')",TheWidowBarnaby,b,f
1856,1856_Craik_Dinah_JohnHalifax_Novel.txt,"('Craik', 'Dinah')",JohnHalifax,b,f
1857,1857_Trollope_Anthony_BarchesterTowers_Novel.txt,"('Trollope', 'Anthony')",BarchesterTowers,b,m
1859,1859_Dickens_Charles_ATaleofTwoCities_Novel.txt,"('Dickens', 'Charles')",ATaleofTwoCities,b,m
1860,1860_Eliot_George_TheMillontheFloss_Novel.txt,"('Eliot', 'George')",TheMillontheFloss,b,f
1860,1860_Collins_Wilkie_TheWomaninWhite_Novel.txt,"('Collins', 'Wilkie')",TheWomaninWhite,b,m
1861,1861_Dickens_Charles_GreatExpectations_Novel.txt,"('Dickens', 'Charles')",GreatExpectations,b,m
1862,1862_Braddon_Mary_LadyAudley'sSecret_Novel.txt,"('Braddon', 'Mary')",LadyAudley'sSecret,b,f
1862,1862_Eliot_George_Romola_Novel.txt,"('Eliot', 'George')",Romola,b,f
1864,1864_Braddon_Mary_HenryDunbar_Novel.txt,"('Braddon', 'Mary')",HenryDunbar,b,f
1865,1865_Carroll_Lewis_Alice'sAdventureinWonderland_Novel.txt,"('Carroll', 'Lewis')",Alice'sAdventureinWonderland,b,m
1869,1869_Alcott_Louisa_LittleWomen_Novel.txt,"('Alcott', 'Louisa')",LittleWomen,a,f
1869,1869_Blackmore_R.D._LornaDoone_Novel.txt,"('Blackmore', 'R.D.')",LornaDoone,b,m
1869,1869_Trollope_Anthony_PhineasFinn_Novel.txt,"('Trollope', 'Anthony')",PhineasFinn,b,m
1871,1871_Carroll_Lewis_ThroughtheLookingGlass.txt,"('Carroll', 'Lewis')",ThroughtheLookingGlass.txt,b,m
1874,1874_Hardy_Thomas_FarFromtheMaddingCrowd_Novel.txt,"('Hardy', 'Thomas')",FarFromtheMaddingCrowd,b,m
1876,1876_Twain_Mark_TheAdventuresofTomSawyer_Novel.txt,"('Twain', 'Mark')",TheAdventuresofTomSawyer,a,m
1876,1876_Trollope_FrancesEleanor_ACharmingFellow_Novel.txt,"('Trollope', 'FrancesEleanor')",ACharmingFellow,b,f
1877,1877_Sewell_Anna_BlackBeauty_Novel.txt,"('Sewell', 'Anna')",BlackBeauty,a,f
1881,1881_James_Henry_PortraitofaLady_Novel.txt,"('James', 'Henry')",PortraitofaLady,b,m
1882,1882_Stevenson_RobertLouis_TreasureIsland_Novel.txt,"('Stevenson', 'RobertLouis')",TreasureIsland,b,m
1883,1883_Braddon_Mary_TheGoldenCalf_Novel.txt,"('Braddon', 'Mary')",TheGoldenCalf,b,f
1884,1884_Twain_Mark_TheAdventuresofHuckleberryFinn_Novel.txt,"('Twain', 'Mark')",TheAdventuresofHuckleberryFinn,a,m
1884,1884_Lyall_Edna_WeTwo_Novel.txt,"('Lyall', 'Edna')",WeTwo,b,f
1885,1885_Barr_Amelia_JanVeeder'sWife_Novel.txt,"('Barr', 'Amelia')",JanVeeder'sWife,b,f
1886,1886_Stevenson_RobertLouis_JekyllandHyde_Novel.txt,"('Stevenson', 'RobertLouis')",JekyllandHyde,b,m
1887,1887_Bellamy_Edward_LookingBackward_Novel.txt,"('Bellamy', 'Edward')",LookingBackward,a,m
1888,1888_Ward_Mrs.Humphry_RobertElsmere_Novel.txt,"('Ward', 'Mrs.Humphry')",RobertElsmere,b,f
1888,1888_Trollope_FrancesEleanor_ThatUnfortunateMarriage_Novel.txt,"('Trollope', 'FrancesEleanor')",ThatUnfortunateMarriage,b,f
1889,1889_Doyle_ArthurConan_TheMysteryoftheCloomber_Novel.txt,"('Doyle', 'ArthurConan')",TheMysteryoftheCloomber,b,m
1890,1890_Broughton_Rhoda_Alas!_Novel.txt,"('Broughton', 'Rhoda')",Alas!,b,f
1890,1890_Chopin_Kate_AtFault_Novel.txt,"('Chopin', 'Kate')",AtFault,a,f
1890,1890_Wilde_Oscar_ThePictureofDorianGray_Novel.txt,"('Wilde', 'Oscar')",ThePictureofDorianGray,b,m
1891,1891_Doyle_ArthurConan_TheDoingsofRafflesHaw_Novel.txt,"('Doyle', 'ArthurConan')",TheDoingsofRafflesHaw,b,m
1891,1891_Gissing_George_NewGrubStreet_Novel.txt,"('Gissing', 'George')",NewGrubStreet,b,m
1891,1891_Hardy_Thomas_TessoftheD'Urbervilles_Novel.txt,"('Hardy', 'Thomas')",TessoftheD'Urbervilles,b,m
1893,1893_Harraden_Beatrice_ShipsThatPassintheNight_Novel.txt,"('Harraden', 'Beatrice')",ShipsThatPassintheNight,b,f
1893,1893_Grand_Sarah_TheHeavenlyTwins_Novel.txt,"('Grand', 'Sarah')",TheHeavenlyTwins,b,f
1893,1893_Gissing_George_TheOddWomen_Novel.txt,"('Gissing', 'George')",TheOddWomen,b,m
1894,1894_Freeman_MaryWilkins_Pembroke_Novel.txt,"('Freeman', 'MaryWilkins')",Pembroke,a,f
1894,1894_Hope_Anthony_ThePrisonerofZenda_Novel.txt,"('Hope', 'Anthony')",ThePrisonerofZenda,b,m
1894,1894_Kipling_Rudyard_TheJungleBook_Novel.txt,"('Kipling', 'Rudyard')",TheJungleBook,b,m
1895,1895_Crane_Stephen_TheRedBadgeofCourage_Novel.txt,"('Crane', 'Stephen')",TheRedBadgeofCourage,a,m
1895,1895_Wells_H.G._TheTimeMachine_Novel.txt,"('Wells', 'H.G.')",TheTimeMachine,b,m
1897,1897_Stoker_Bram_Dracula_Novel.txt,"('Stoker', 'Bram')",Dracula,b,m
1898,1898_Crockett_SR_TheRedAxe_Novel.txt,"('Crockett', 'SR')",TheRedAxe,b,m
1899,1899_Conrad_Joseph_HeartofDarkness_Novel.txt,"('Conrad', 'Joseph')",HeartofDarkness,b,m
1899,1899_Chopin_Kate_TheAwakening_Novel.txt,"('Chopin', 'Kate')",TheAwakening,a,f
1900,1900_Dreiser_Theodore_SisterCarrie_Novel.txt,"('Dreiser', 'Theodore')",SisterCarrie,a,m
1900,1900_Barr_Amelia_TheMaidofMaidenLane_Novel.txt,"('Barr', 'Amelia')",TheMaidofMaidenLane,b,f
1900,1900_Kipling_Rudyard_Kim_Novel.txt,"('Kipling', 'Rudyard')",Kim,b,m
1901,1901_Norris_Frank_TheOctopus_Novel.txt,"('Norris', 'Frank')",TheOctopus,a,m
1902,1902_Bennett_Arnold_GrandBabylonHotel_Novel.txt,"('Bennett', 'Arnold')",GrandBabylonHotel,b,m
1902,1902_Bellamy_Edward_Eleonora_Novel.txt,"('Bellamy', 'Edward')",Eleonora,a,m
1903,1903_James_Henry_TheAmbassadors_Novel.txt,"('James', 'Henry')",TheAmbassadors,b,m
1903,1903_London_Jack_TheCalloftheWild_Novel.txt,"('London', 'Jack')",TheCalloftheWild,a,m
1903,1903_Norris_Frank_ThePit_Novel.txt,"('Norris', 'Frank')",ThePit,a,m
1904,1904_Murfree_MaryNoailles_TheFrontiersman_Novel.txt,"('Murfree', 'MaryNoailles')",TheFrontiersman,a,f
1905,1905_Wharton_Edith_TheHouseofMirth_Novel.txt,"('Wharton', 'Edith')",TheHouseofMirth,a,f
1905,1905_Orczy_Emma_TheScarletPimpernel_Novel.txt,"('Orczy', 'Emma')",TheScarletPimpernel,b,f
1906,1906_London_Jack_WhiteFang_Novel.txt,"('London', 'Jack')",WhiteFang,a,m
1906,1906_Stein_Gertrude_ThreeLives_Novel.txt,"('Stein', 'Gertrude')",ThreeLives,a,f
1906,1906_Sinclair_Upton_TheJungle_Novel.txt,"('Sinclair', 'Upton')",TheJungle,a,m
1908,1908_Forster_E.M._ARoomWithaView_Novel.txt,"('Forster', 'E.M.')",ARoomWithaView,b,m
1910,1910_Forster_E.M._HowardsEnd_Novel.txt,"('Forster', 'E.M.')",HowardsEnd,b,m
1911,1911_Barrie_J.M._PeterPan_Novel.txt,"('Barrie', 'J.M.')",PeterPan,b,m
1911,1911_Wharton_Edith_EthanFrome_Novel.txt,"('Wharton', 'Edith')",EthanFrome,a,f
1912,1912_Cather_Willa_Alexander'sBridge_Novel.txt,"('Cather', 'Willa')",Alexander'sBridge,a,f
1912,1912_Dreiser_Theodore_TheFinancier_Novel.txt,"('Dreiser', 'Theodore')",TheFinancier,a,m
1913,1913_Lawrence_D.H._SonsandLovers_Novel.txt,"('Lawrence', 'D.H.')",SonsandLovers,b,m
1915,1915_Ford_FordMadox_TheGoodSoldier_Novel.txt,"('Ford', 'FordMadox')",TheGoodSoldier,b,m
1916,1916_Joyce_James_APortraitoftheArtistasaYoungMan_Novel.txt,"('Joyce', 'James')",APortraitoftheArtistasaYoungMan,b,m
1917,1917_Lewis_Sinclair_TheInnocents_Novel.txt,"('Lewis', 'Sinclair')",TheInnocents,a,f
1917,1917_Webb_Mary_GonetoEart_Novel.txt,"('Webb', 'Mary')",GonetoEart,b,f
1917,1917_Cahan_Abraham_TheRiseofDavidLevinsky_Novel.txt,"('Cahan', 'Abraham')",TheRiseofDavidLevinsky,a,m
